N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
58,SKC,"174,500","7,500",+4.49%,"5,000","66,080","37,868",16.14,"289,202",35.55,2.21,
59,현대글로비스,"171,500","1,500",-0.87%,500,"64,312","37,500",32.80,"135,367",9.25,12.45,
60,LG유플러스,"14,150",100,+0.71%,"5,000","61,780","436,611",35.14,"1,185,935",15.74,6.46,
61,일진머티리얼즈,"130,000","5,500",+4.42%,500,"59,944","46,111",12.13,"547,951",94.34,7.23,
62,CJ제일제당,"392,000","2,000",-0.51%,"5,000","59,012","15,054",22.42,"29,182",13.37,13.50,
63,KODEX 200,"40,205",325,+0.81%,0,"58,941","146,600",11.26,"4,947,490",N/A,N/A,
64,코웨이,"78,100",800,+1.03%,500,"57,638","73,800",60.29,"132,682",12.93,31.51,
65,맥쿼리인프라,"14,150",50,-0.35%,0,"57,286","404,846",13.35,"2,203,451",N/A,N/A,
66,미래에셋증권,"8,910",60,+0.68%,"5,000","56,607","635,316",12.51,"1,811,738",6.09,8.94,
67,금호석유,"185,000","1,000",-0.54%,"5,000","56,365","30,468",18.49,"311,773",3.31,20.18,
68,메리츠금융지주,"42,000","1,050",+2.56%,500,"56,285","134,011",8.13,"436,751",7.91,16.06,
69,현대제철,"42,000",50,+0.12%,"5,000","56,047","133,446",20.20,"454,047",6.43,-2.59,
70,에스디바이오센서,"53,600","1,500",-2.72%,500,"55,353","103,271",6.82,"669,424",8.12,139.97,
71,강원랜드,"24,150",150,+0.63%,500,"51,667","213,940",18.79,"596,229",-156.82,-7.92,
72,한국타이어앤테크놀로지,"41,450",650,+1.59%,500,"51,346","123,875",41.55,"116,570",7.77,5.12,
73,현대건설,"44,950",50,+0.11%,"5,000","50,054","111,356",22.21,"770,147",29.89,1.84,
74,삼성중공업,"5,580",70,+1.27%,"1,000","49,104","880,000",14.35,"4,981,388",-2.27,-33.06,
75,한국금융지주,"85,500",800,+0.94%,"5,000","47,646","55,726",34.60,"268,019",2.93,16.27,
76,유한양행,"67,500",200,+0.30%,"1,000","47,232","69,973",17.50,"407,726",48.95,11.06,
77,현대중공업지주,"57,900",100,-0.17%,"1,000","45,737","78,993",16.39,"408,754",-13.42,-8.12,
78,삼성증권,"49,700",50,+0.10%,"5,000","44,382","89,300",29.36,"1,480,601",4.68,9.89,
79,삼성엔지니어링,"21,900",50,-0.23%,"5,000","42,924","196,000",34.87,"1,670,448",12.12,17.32,
80,이마트,"152,000",0,0.00%,"5,000","42,371","27,876",33.32,"117,244",3.06,4.05,
81,DB손해보험,"59,100",600,+1.03%,500,"41,843","70,800",42.78,"137,508",5.25,9.08,
82,오리온,"105,500","1,500",+1.44%,500,"41,711","39,536",37.49,"92,921",17.54,15.50,
83,두산밥캣,"41,450",950,+2.35%,500,"41,553","100,249",25.24,"156,920",11.34,6.15,
84,한진칼,"61,500","4,400",+7.71%,"2,500","41,044","66,739",14.54,"179,151",-70.05,-19.55,
85,NH투자증권,"13,600",200,+1.49%,"5,000","40,397","297,034",17.58,"3,852,930",4.99,10.32,
86,삼성카드,"34,350",150,+0.44%,"5,000","39,798","115,859",7.12,"355,006",8.47,5.69,
87,쌍용C&E,"7,890",0,0.00%,100,"39,755","503,860",3.08,"930,371",19.29,7.92,
88,메리츠화재,"32,500",0,0.00%,500,"39,203","120,625",10.22,"201,931",6.74,16.91,
89,한미사이언스,"58,000",100,+0.17%,500,"39,037","67,305",1.41,"98,553",72.14,3.47,
