N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
59,SKC,"167,000","3,500",-2.05%,"5,000","63,240","37,868",16.23,"149,964",34.02,2.21,
60,LG유플러스,"14,050",100,-0.71%,"5,000","61,344","436,611",35.13,"1,120,859",15.63,6.46,
61,CJ제일제당,"394,000","6,500",+1.68%,"5,000","59,313","15,054",22.42,"35,672",13.44,13.50,
62,맥쿼리인프라,"14,200",50,-0.35%,0,"57,488","404,846",13.36,"1,299,044",N/A,N/A,
63,일진머티리얼즈,"124,500","2,000",-1.58%,500,"57,408","46,111",12.11,"280,781",90.35,7.23,
64,KODEX 200,"39,880",235,-0.59%,0,"57,407","143,950",15.43,"2,104,938",N/A,N/A,
65,코웨이,"77,300",100,-0.13%,500,"57,047","73,800",60.28,"53,026",12.80,31.51,
66,에스디바이오센서,"55,100","1,100",+2.04%,500,"56,903","103,271",6.84,"988,352",8.35,139.97,
67,금호석유,"186,000","1,500",+0.81%,"5,000","56,670","30,468",18.56,"118,640",3.33,20.18,
68,미래에셋증권,"8,850",120,-1.34%,"5,000","56,226","635,316",12.70,"1,092,107",6.05,8.94,
69,현대제철,"41,950",650,-1.53%,"5,000","55,980","133,446",20.18,"343,222",6.42,-2.59,
70,메리츠금융지주,"40,950",350,+0.86%,500,"54,878","134,011",8.13,"280,635",7.71,16.06,
71,강원랜드,"24,000",100,-0.41%,500,"51,346","213,940",18.78,"336,083",-155.84,-7.92,
72,한국타이어앤테크놀로지,"40,800",0,0.00%,500,"50,541","123,875",41.57,"70,301",7.65,5.12,
73,현대건설,"44,900",450,-0.99%,"5,000","49,999","111,356",22.31,"736,919",29.85,1.84,
74,삼성중공업,"5,510",100,-1.78%,"1,000","48,488","880,000",14.35,"2,754,162",-2.25,-33.06,
75,한국금융지주,"84,700",200,-0.24%,"5,000","47,200","55,726",34.69,"133,420",2.90,16.27,
76,유한양행,"67,300","2,700",+4.18%,"1,000","47,092","69,973",17.59,"550,839",48.80,11.06,
77,현대중공업지주,"58,000",100,-0.17%,"1,000","45,816","78,993",16.46,"220,874",-13.44,-8.12,
78,삼성증권,"49,650",100,+0.20%,"5,000","44,337","89,300",29.41,"746,946",4.67,9.89,
79,삼성엔지니어링,"21,950",650,-2.88%,"5,000","43,022","196,000",34.74,"1,419,509",12.15,17.32,
80,이마트,"152,000",500,+0.33%,"5,000","42,371","27,876",33.34,"42,816",3.06,4.05,
81,DB손해보험,"58,500",200,-0.34%,500,"41,418","70,800",42.79,"74,373",5.20,9.08,
82,오리온,"104,000","1,000",-0.95%,500,"41,118","39,536",37.46,"70,104",17.29,15.50,
83,두산밥캣,"40,500",50,+0.12%,500,"40,601","100,249",25.27,"133,354",11.08,6.15,
84,NH투자증권,"13,400",0,0.00%,"5,000","39,803","297,034",17.54,"1,211,109",4.92,10.32,
85,쌍용C&E,"7,890",0,0.00%,100,"39,755","503,860",3.09,"358,000",19.29,7.92,
86,삼성카드,"34,200",200,+0.59%,"5,000","39,624","115,859",7.12,"168,154",8.44,5.69,
87,메리츠화재,"32,500",50,-0.15%,500,"39,203","120,625",10.21,"181,634",6.74,16.91,
88,한미사이언스,"57,900","3,000",+5.46%,500,"38,969","67,305",1.33,"216,693",72.01,3.47,
89,현대차2우B,"104,500",500,-0.48%,"5,000","38,127","36,485",61.76,"69,837",5.30,N/A,
90,한진칼,"57,100",300,-0.52%,"2,500","38,108","66,739",14.55,"79,020",-65.03,-19.55,
91,GS,"40,850",300,-0.73%,"5,000","37,956","92,915",18.69,"190,398",3.71,-2.82,
92,현대오토에버,"137,500","2,000",+1.48%,500,"37,708","27,424",2.17,"173,187",49.91,11.09,
93,아모레G,"45,600",100,-0.22%,500,"37,601","82,458",15.98,"43,179",25.60,0.31,
94,메리츠증권,"5,290",30,+0.57%,"1,000","36,064","681,731",13.46,"1,116,180",5.37,13.08,
95,한미약품,"293,500","16,500",+5.96%,"2,500","35,450","12,078",13.19,"81,808",45.84,1.65,
96,GS건설,"41,250",550,-1.32%,"5,000","35,302","85,581",26.07,"327,192",10.05,7.68,
97,한국가스공사,"38,000",400,-1.04%,"5,000","35,079","92,313",10.43,"255,402",7.89,-2.24,
98,한솔케미칼,"299,000","3,500",-1.16%,"5,000","33,892","11,335",42.63,"31,962",23.33,24.50,
99,두산퓨얼셀,"50,100",900,-1.76%,100,"32,812","65,494",15.27,"390,215","1,002.00",4.18,
100,롯데지주,"30,800",0,0.00%,200,"32,312","104,909",8.39,"189,523",16.05,-3.03,
101,GS리테일,"30,850",50,-0.16%,"1,000","32,305","104,718",8.27,"177,679",3.12,7.50,
102,한전기술,"83,000","2,000",-2.35%,200,"31,723","38,220",1.39,"681,347",312.03,N/A,
103,DB하이텍,"70,000","1,000",-1.41%,"5,000","31,079","44,399",23.93,"449,880",14.62,23.07,
104,한국항공우주,"31,750",0,0.00%,"5,000","30,948","97,475",12.12,"457,498",215.99,6.39,
105,호텔신라,"77,900",0,0.00%,"5,000","30,574","39,248",12.46,"167,800",-29.90,-36.74,
106,한화시스템,"15,900",350,+2.25%,"5,000","30,038","188,919",2.16,"894,750",19.27,9.35,
107,TIGER 차이나전기차SOLACTIVE,"17,390",220,-1.25%,0,"29,848","171,640",0.04,"4,239,731",N/A,N/A,
108,만도,"62,700",100,+0.16%,"1,000","29,442","46,957",21.50,"439,693",13.21,0.37,
109,CJ대한통운,"129,000",500,-0.39%,"5,000","29,428","22,812",21.75,"29,952",99.92,3.89,
110,동서,"29,400",650,-2.16%,500,"29,312","99,700",2.90,"252,140",27.61,8.61,
111,팬오션,"5,450",90,-1.62%,"1,000","29,134","534,570",11.65,"1,487,202",9.36,3.25,
112,에스원,"75,600",500,+0.67%,500,"28,727","37,999",52.99,"25,743",18.90,10.48,
113,BNK금융지주,"8,800",50,-0.56%,"5,000","28,682","325,935",39.10,"1,291,400",3.52,6.11,
114,키움증권,"108,500","1,000",-0.91%,"5,000","28,448","26,220",25.61,"55,552",3.12,27.63,
115,효성첨단소재,"634,000","5,000",-0.78%,"5,000","28,403","4,480",11.24,"29,929",13.23,0.03,
116,포스코인터내셔널,"22,850",50,-0.22%,"5,000","28,191","123,375",6.40,"582,682",9.24,7.69,
